127.0.0.1 - - [11/Feb/2024:13:43:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Feb/2024:13:43:23 +0900] "GET /BBS/ HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [11/Feb/2024:13:43:23 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1991
0:0:0:0:0:0:0:1 - - [11/Feb/2024:13:43:23 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146075
0:0:0:0:0:0:0:1 - - [11/Feb/2024:13:43:23 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [11/Feb/2024:13:46:35 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1991
0:0:0:0:0:0:0:1 - - [11/Feb/2024:13:46:35 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2024:13:46:35 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2024:13:47:06 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [11/Feb/2024:13:47:06 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2024:13:47:06 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [11/Feb/2024:13:47:06 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
64.62.197.123 - - [11/Feb/2024:13:47:24 +0900] "GET / HTTP/1.1" 404 807
64.62.197.128 - - [11/Feb/2024:13:47:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Feb/2024:13:47:57 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [11/Feb/2024:13:47:57 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2024:13:47:57 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2024:13:47:57 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2024:13:47:58 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4064
0:0:0:0:0:0:0:1 - - [11/Feb/2024:13:47:59 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [11/Feb/2024:13:48:00 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2040
64.62.197.123 - - [11/Feb/2024:13:48:09 +0900] "GET /?format=json HTTP/1.1" 404 807
64.62.197.136 - - [11/Feb/2024:13:48:22 +0900] "CONNECT www.shadowserver.org:443 HTTP/1.1" 501 755
